source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,5,1080p,60,8,2.0,0.6,125,encoded,600,50,550,60.60858433457462,48.38776611328058,61.12089111328169,77.20448486328132,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12991727841460934,0.01640885679349126,0.25708141188582023,1,1710.0,1.71,9600.0,5.614035087719298,HEADROOM
360p,5,1080p,60,8,2.0,0.7,125,encoded,600,50,550,60.67718927128516,44.337609863279795,53.978033970423894,69.57316789899414,0,164043264,15000000,179043264,298405.44,17.074896240234374,0.12974712411203373,0.016427430541652008,0.22147174084019108,1,1710.0,1.71,11200.0,6.549707602339181,HEADROOM
360p,5,1080p,60,16,2.0,0.2,125,encoded,600,50,550,60.175887817488984,95.17104736328065,111.25464111328074,145.07135986328103,50,247915008,15000000,262915008,438191.68,25.073529052734376,0.194456516656524,0.01629171076109581,0.38217706352887226,1,1710.0,1.71,6400.0,3.742690058479532,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,16,2.0,0.3,125,encoded,600,50,550,60.47917013057836,70.17104736328065,86.25464111328074,107.90417236328176,0,246681600,15000000,261681600,436136.0,24.955902099609375,0.19447190553931318,0.016373819856665684,0.2621973622394338,1,1710.0,1.71,9600.0,5.614035087719298,HEADROOM
360p,5,1080p,60,16,2.0,0.4,125,encoded,600,50,550,60.631960574701196,57.67104736328065,73.75464111328074,86.62151611328045,0,245448192,15000000,260448192,434080.32,24.838275146484374,0.19399611051647142,0.01641518555666596,0.20178316479260539,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.5,125,encoded,600,50,550,60.71437606570657,50.17104736328065,64.68745361328183,77.39432861328129,0,226124800,15000000,241124800,401874.6666666667,22.995452880859375,0.17896122056021252,0.016437498303355554,0.3047254534737807,1,1710.0,1.71,16000.0,9.35672514619883,HEADROOM
360p,5,1080p,60,16,2.0,0.6,125,encoded,600,50,550,60.76405635326036,45.17104736328065,57.90417236328176,67.82506347656272,0,205979136,15000000,220979136,368298.56,21.074212646484376,0.16314501930354275,0.016450948489214207,0.2551482726273398,1,1710.0,1.71,19200.0,11.228070175438596,HEADROOM
360p,5,1080p,60,16,2.0,0.7,125,encoded,600,50,550,60.79290256963831,41.59961879185175,51.24977504185199,63.628190220422766,0,185833472,15000000,200833472,334722.4533333333,19.152972412109374,0.14726846341516184,0.01645875816566147,0.2218940943791801,1,1710.0,1.71,22400.0,13.099415204678362,HEADROOM
360p,10,1080p,60,4,2.0,0.2,125,encoded,600,100,500,57.902179864612016,216.89581298828193,324.28745361330766,354.88745361330984,325,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12414685755230076,0.01567613874933217,0.9901272756848684,1,1620.0,1.62,1600.0,0.9876543209876543,COMPUTE_CAPACITY
360p,10,1080p,60,4,2.0,0.3,125,encoded,600,100,500,59.63194631347132,63.737609863280795,104.68745361328183,104.68745361328183,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12785561375849896,0.016144446832372587,0.8567122953702077,1,1620.0,1.62,2400.0,1.4814814814814814,HEADROOM
360p,10,1080p,60,4,2.0,0.4,125,encoded,600,100,500,59.85502579376665,51.237609863280795,79.68745361328183,79.68745361328183,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12833391382471102,0.016204842224971195,0.7579142641135729,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.5,125,encoded,600,100,500,59.98967642989432,43.737609863280795,64.68745361328183,64.68745361328183,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12862261544841075,0.016241296846533953,0.6100950092920268,1,1620.0,1.62,4000.0,2.4691358024691357,HEADROOM
360p,10,1080p,60,4,2.0,0.6,125,encoded,600,100,500,60.0797805948409,38.737609863280795,54.68745361328183,54.68745361328183,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12881580591130262,0.01626569118531184,0.5111787998944385,1,1620.0,1.62,4800.0,2.962962962962963,HEADROOM
360p,10,1080p,60,4,2.0,0.7,125,encoded,600,100,500,60.14430660814531,35.1661812918519,47.54459647042404,47.54459647042427,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12895415479213668,0.016283160626701893,0.44034224480963535,1,1620.0,1.62,5600.0,3.45679012345679,HEADROOM
360p,10,1080p,60,8,2.0,0.2,125,encoded,600,100,500,59.65457511999932,85.52089111328087,91.95432861328118,98.14776611328125,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.1921799945222395,0.016150573239214164,0.7546900298431128,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,8,2.0,0.3,125,encoded,600,100,500,59.95261242177893,60.52089111328087,66.95432861328118,73.14776611328125,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.1931401355828071,0.016231262327364177,0.5076587377834836,1,1620.0,1.62,4800.0,2.962962962962963,HEADROOM
360p,10,1080p,60,8,2.0,0.4,125,encoded,600,100,500,60.10275062652036,48.02089111328087,54.45432861328118,60.64776611328125,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.19362381280801153,0.016271909973698144,0.38321513799469326,1,1620.0,1.62,6400.0,3.950617283950617,HEADROOM
360p,10,1080p,60,8,2.0,0.5,125,encoded,600,100,500,60.19319504129488,40.52089111328087,46.95432861328118,53.14776611328125,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.1939151837062363,0.016296396429966675,0.3082493518064705,1,1620.0,1.62,8000.0,4.938271604938271,HEADROOM
360p,10,1080p,60,8,2.0,0.6,125,encoded,600,100,500,60.25364269574043,35.52089111328087,41.95432861328118,48.14776611328125,0,246681600,15000000,261681600,436136.0,24.955902099609375,0.19378688693908291,0.016312761717428664,0.25921117087707485,1,1620.0,1.62,9600.0,5.925925925925926,HEADROOM
360p,10,1080p,60,8,2.0,0.7,125,encoded,600,100,500,60.295253495335,31.94946254185197,38.38290004185228,44.576337541852695,0,246270464,15000000,261270464,435450.7733333333,24.916693115234374,0.19360549956562342,0.01632402721156792,0.22450506958605904,1,1620.0,1.62,11200.0,6.91358024691358,HEADROOM
360p,10,1080p,60,16,2.0,0.2,125,encoded,600,100,500,59.932548068048966,85.52089111328087,91.95432861328118,98.14776611328125,0,248326144,15000000,263326144,438876.9066666667,25.112738037109374,0.19403942808750338,0.01622583020730027,0.7506551645523146,1,1620.0,1.62,6400.0,3.950617283950617,HEADROOM
