source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,5,1080p,60,16,2.0,0.4,12.5,encoded,600,50,550,59.6290772666314,165.87609863281205,197.32328613281243,235.4232861328128,251,102372864,15000000,117372864,195621.44,11.193548583984375,0.7781783098138616,0.11850376518171113,0.7550531908887227,1,1710.0,1.71,12800.0,7.485380116959064,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,16,2.0,0.4,12.5,raw,600,50,550,4.211180609506578,66381.14578125041,125756.31906250061,131253.5515625003,600,102372864,1866240000,1968612864,3281021.44,187.741552734375,0.05495723830126385,0.9996697929937803,0.053324074467877236,1,1710.0,1.71,12800.0,7.485380116959064,OUTPUT_INTERCONNECT
360p,5,1080p,60,16,2.0,0.4,25,encoded,600,50,550,60.03511067557785,117.95164306640572,140.2880493164066,169.19726806640756,2,123751936,15000000,138751936,231253.22666666665,13.232415771484375,0.4747298108130636,0.06205675198795167,0.5695831125345457,1,1710.0,1.71,12800.0,7.485380116959064,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,16,2.0,0.4,25,raw,600,50,550,8.406359200576162,30773.566718750277,58212.56718750074,60862.14343750078,599,123751936,1866240000,1989991936,3316653.2266666666,189.780419921875,0.06647358967124559,0.9981067302887954,0.07975533291546646,1,1710.0,1.71,12800.0,7.485380116959064,OUTPUT_INTERCONNECT
360p,5,1080p,60,16,2.0,0.4,50,encoded,600,50,550,60.370540930986685,85.94402465820258,102.03121215820283,125.3966027832031,0,164865536,15000000,179865536,299775.8933333333,17.153314208984376,0.3195855999029594,0.0336165604511961,0.3849225689759705,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,50,raw,600,50,550,16.74559481835452,12967.873359375033,24448.1335937505,25673.88171875054,599,164865536,1866240000,2031105536,3385175.8933333335,193.701318359375,0.08864672873932872,0.9947916839282932,0.10676991256182825,1,1710.0,1.71,12800.0,7.485380116959064,OUTPUT_INTERCONNECT
360p,5,1080p,60,16,2.0,0.4,100,encoded,600,50,550,60.591171130093386,62.42380920410096,80.51931701660214,96.3629107666016,0,226124800,15000000,241124800,401874.6666666667,22.995452880859375,0.22215289782642147,0.019293354617344143,0.378634228391953,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,100,raw,600,50,550,33.22588566453577,4065.026679687482,7595.659882812513,8079.750859375054,598,226124800,1866240000,2092364800,3487274.6666666665,199.54345703125,0.12182017025843546,0.9882403726698394,0.2076285595176837,1,1710.0,1.71,12800.0,7.485380116959064,OUTPUT_INTERCONNECT
360p,5,1080p,60,16,2.0,0.4,125,encoded,600,50,550,60.631960574701196,57.67104736328065,73.75464111328074,86.62151611328045,0,245448192,15000000,260448192,434080.32,24.838275146484374,0.19399611051647142,0.01641518555666596,0.20178316479260539,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,125,raw,600,50,550,41.368504606124546,2291.604453124981,4213.2839062499625,4560.924687499961,596,245448192,1866240000,2111688192,3519480.32,201.386279296875,0.13236136379893806,0.985003486158357,0.13767438332918236,1,1710.0,1.71,12800.0,7.485380116959064,OUTPUT_INTERCONNECT
360p,5,1080p,60,16,2.0,0.4,200,encoded,600,50,550,60.67567273527899,50.54190460205018,60.74415069580027,78.4396585083008,0,247092736,15000000,262092736,436821.2266666667,24.995111083984376,0.12393916093759826,0.012087157658610547,0.1980757336443181,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,200,raw,600,50,550,58.921437900587755,144.46619140624853,219.02390624999862,293.58162109374825,96,247092736,1866240000,2113332736,3522221.2266666666,201.543115234375,0.12035587320962018,0.8786095530351454,0.19234903402646855,1,1710.0,1.71,12800.0,7.485380116959064,OUTPUT_INTERCONNECT
360p,5,1080p,60,16,2.0,0.4,400,encoded,600,50,550,60.71214771102628,44.60095230102479,49.90207534789988,66.56229995727517,0,247915008,15000000,262915008,438191.68,25.073529052734376,0.06460940612641522,0.008475697814748788,0.19433958482299496,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,400,raw,600,50,550,59.97560673762726,84.1348535156244,121.61371093749949,159.09256835937413,0,247915008,1866240000,2114155008,3523591.68,201.621533203125,0.06382558482090671,0.44956344274199245,0.1919819171671447,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,800,encoded,600,50,550,60.73040164895074,41.630476150512095,44.481037673949686,60.65114997863748,0,247915008,15000000,262915008,438191.68,25.073529052734376,0.034715291126059,0.006668339140592235,0.19439801567829115,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,800,raw,600,50,550,60.47165716435299,61.3974267578119,80.33685546874949,99.27628417968663,0,247915008,1866240000,2114155008,3523591.68,201.621533203125,0.034567385137193735,0.22905972797930135,0.19356977458309377,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,1600,encoded,600,50,550,60.73953273475401,40.14523807525575,41.77051883697459,57.69557498931863,0,247915008,15000000,262915008,438191.68,25.073529052734376,0.019761491556299835,0.005764252186899804,0.19442724428394742,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,5,1080p,60,16,2.0,0.4,1600,raw,600,50,550,60.67882178638955,50.02871337890565,59.69842773437449,69.36814208984288,0,247915008,1866240000,2114155008,3523591.68,201.621533203125,0.01974173936461409,0.11734937482015662,0.19423290853823277,1,1710.0,1.71,12800.0,7.485380116959064,HEADROOM
360p,10,1080p,60,4,2.0,0.4,12.5,encoded,600,100,500,59.397504171689775,125.23453613281208,141.081723632813,163.3345361328138,0,123340800,15000000,138340800,230568.0,13.193206787109375,0.9339343056923556,0.11804354870808273,0.911009220233297,1,1620.0,1.62,3200.0,1.9753086419753085,INPUT_INTERCONNECT_HEADROOM_LOW
360p,10,1080p,60,4,2.0,0.4,12.5,raw,600,100,500,4.211180609506578,66381.14578125041,125856.31906250061,131153.5515625003,600,123340800,1866240000,1989580800,3315968.0,189.7412109375,0.06621433162101077,0.9996697929937803,0.0645889825983075,1,1620.0,1.62,3200.0,1.9753086419753085,OUTPUT_INTERCONNECT
360p,10,1080p,60,4,2.0,0.4,25,encoded,600,100,500,59.62756111447791,87.29453613281203,102.18804931640625,117.79164306640624,0,163632128,15000000,178632128,297720.2133333333,17.035687255859376,0.6234807169592789,0.06163547847398003,0.7565843092010558,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,25,raw,600,100,500,8.41815353765001,30714.200546875276,58212.56718750074,60662.14343750078,599,163632128,1866240000,2029872128,3383120.2133333334,193.58369140625,0.08802232231250756,0.9995070995725508,0.10681374116247254,1,1620.0,1.62,3200.0,1.9753086419753085,OUTPUT_INTERCONNECT
360p,10,1080p,60,4,2.0,0.4,50,encoded,600,100,500,59.76915819577524,70.10043090820272,84.6786340332037,84.6786340332037,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.31562884608116865,0.03328168819792853,0.7568269656540066,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
360p,10,1080p,60,4,2.0,0.4,50,raw,600,100,500,16.792461444245884,12917.87335937503,24448.1335937505,25473.88171875054,596,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.08867759541047851,0.9975758507611969,0.21263454303776422,1,1620.0,1.62,3200.0,1.9753086419753085,OUTPUT_INTERCONNECT
360p,10,1080p,60,4,2.0,0.4,100,encoded,600,100,500,59.8406973979217,54.42201232910111,80.51931701660214,80.51931701660214,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.15958709886654374,0.019054389837892986,0.7577328308011861,1,1620.0,1.62,3200.0,1.9753086419753085,HEADROOM
